 anger, anger
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, happiness
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, neutral
 happiness, sadness
 happiness, sadness
 happiness, sadness
 happiness, sadness
 happiness, sadness
 happiness, sadness
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 happiness, surprise
 neutral, anger
 neutral, anger
 neutral, anger
 neutral, anger
 neutral, anger
 neutral, anger
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, disgust
 neutral, fear
 neutral, fear
 neutral, fear
 neutral, fear
 neutral, fear
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, happiness
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, neutral
 neutral, sadness
 neutral, sadness
 neutral, sadness
 neutral, sadness
 neutral, sadness
 neutral, sadness
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 neutral, surprise
 sadness, anger
 sadness, anger
 sadness, anger
 sadness, anger
 sadness, anger
 sadness, anger
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, disgust
 sadness, fear
 sadness, fear
 sadness, fear
 sadness, fear
 sadness, fear
 sadness, fear
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, happiness
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, neutral
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, sadness
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 sadness, surprise
 surprise, anger
 surprise, anger
 surprise, disgust
 surprise, disgust
 surprise, fear
 surprise, happiness
 surprise, happiness
 surprise, happiness
 surprise, happiness
 surprise, happiness
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, neutral
 surprise, sadness
 surprise, sadness
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
 surprise, surprise
